TicketID,CustomerID,IssueType,Priority,ResolutionDays,Resolved
T000001,C041540,Bug,Low,6,Yes
T000002,C022332,Login,Medium,6,Yes
T000003,C040310,Bug,Low,7,Yes
T000004,C041745,Bug,Low,14,No
T000005,C048359,Billing,Low,5,Yes
T000006,C040010,Feature,High,8,Yes
T000007,C027644,Login,Low,8,Yes
T000008,C021483,Feature,High,9,No
T000009,C018243,Billing,High,0,Yes
T000010,C018028,Feature,High,4,Yes
T000011,C042380,Login,Medium,1,No
T000012,C043859,Bug,Medium,14,No
T000013,C016387,Bug,Low,12,Yes
T000014,C040622,Bug,Low,1,No
T000015,C047155,Feature,Medium,6,Yes
T000016,C010462,Bug,Low,2,No
T000017,C034259,Billing,Low,1,Yes
T000018,C000033,Cancellation,Medium,12,No
T000019,C039991,Feature,Low,9,No
T000020,C038495,Bug,Medium,1,No
T000021,C018211,Cancellation,Medium,2,No
T000022,C023635,Bug,Medium,15,Yes
T000023,C031893,Feature,Medium,12,No
T000024,C027366,Feature,High,0,Yes
T000025,C046620,Feature,Medium,6,Yes
T000026,C001246,Login,Low,0,Yes
T000027,C045967,Login,Medium,3,Yes
T000028,C024940,Login,Low,14,No
T000029,C032415,Feature,High,12,No
T000030,C020696,Feature,Medium,13,Yes
T000031,C036220,Feature,Medium,14,No
T000032,C024726,Feature,Low,2,No
T000033,C016094,Cancellation,High,7,Yes
T000034,C003508,Billing,Low,12,Yes
T000035,C039492,Cancellation,High,12,No
T000036,C023629,Billing,Medium,2,Yes
T000037,C043880,Cancellation,High,13,No
T000038,C048880,Bug,Low,10,Yes
T000039,C032466,Cancellation,High,14,No
T000040,C045959,Billing,Medium,10,Yes
T000041,C028807,Login,Medium,0,Yes
T000042,C028900,Login,Medium,1,Yes
T000043,C006969,Feature,Medium,0,No
T000044,C030779,Cancellation,High,5,Yes
T000045,C028391,Cancellation,Low,14,No
T000046,C005509,Cancellation,High,9,Yes
T000047,C034758,Login,High,4,No
T000048,C027342,Login,Low,15,Yes
T000049,C043542,Feature,Low,11,No
T000050,C008298,Bug,Medium,5,No
T000051,C025316,Login,Low,12,Yes
T000052,C015069,Bug,Medium,12,No
T000053,C028120,Feature,Medium,8,No
T000054,C016482,Login,Medium,2,No
T000055,C036025,Cancellation,High,14,No
T000056,C011378,Bug,High,4,Yes
T000057,C031306,Feature,High,15,No
T000058,C049944,Bug,Medium,15,Yes
T000059,C020469,Billing,High,15,Yes
T000060,C037873,Billing,High,15,Yes
T000061,C006271,Feature,Low,7,No
T000062,C000218,Bug,High,6,No
T000063,C004841,Cancellation,Medium,1,No
T000064,C030271,Bug,Low,14,Yes
T000065,C025961,Feature,Low,12,No
T000066,C009945,Bug,High,15,Yes
T000067,C034413,Login,High,5,Yes
