SubscriptionID,CustomerID,StartDate,RenewalDate,ContractType,DiscountPct,Status
S000001,C000001,2025-09-13,2026-04-11,Monthly,10,Cancelled
S000002,C000002,2021-12-13,2022-02-11,Annual,20,Active
S000003,C000003,2023-04-28,2024-04-22,Monthly,20,Expired
S000004,C000004,2023-09-10,2024-04-07,Annual,15,Expired
S000005,C000005,2024-06-23,2025-02-18,Monthly,15,Expired
S000006,C000006,2023-04-21,2023-06-20,Annual,20,Cancelled
S000007,C000007,2023-01-28,2023-09-25,Annual,0,Cancelled
S000008,C000008,2023-04-11,2024-01-06,Monthly,0,Active
S000009,C000009,2021-11-12,2022-09-08,Annual,0,Cancelled
S000010,C000010,2021-08-22,2022-02-18,Monthly,20,Cancelled
S000011,C000011,2021-12-23,2022-10-19,Annual,15,Cancelled
S000012,C000012,2021-09-08,2022-03-07,Annual,15,Active
S000013,C000013,2022-08-28,2023-04-25,Monthly,10,Active
S000014,C000014,2024-02-16,2024-08-14,Monthly,10,Cancelled
S000015,C000015,2025-04-29,2025-12-25,Annual,10,Cancelled
S000016,C000016,2024-07-23,2025-01-19,Annual,0,Cancelled
S000017,C000017,2021-12-24,2022-05-23,Monthly,5,Cancelled
S000018,C000018,2021-03-01,2021-08-28,Monthly,20,Active
S000019,C000019,2021-01-17,2021-04-17,Monthly,10,Expired
S000020,C000020,2023-09-19,2024-01-17,Monthly,15,Cancelled
S000021,C000021,2023-09-05,2023-11-04,Annual,15,Expired
S000022,C000022,2021-07-27,2021-11-24,Monthly,5,Expired
S000023,C000023,2025-08-25,2025-10-24,Annual,0,Expired
S000024,C000024,2024-09-30,2025-03-29,Annual,15,Cancelled
S000025,C000025,2023-03-01,2023-05-30,Monthly,0,Active
S000026,C000026,2025-07-02,2026-06-27,Annual,10,Active
S000027,C000027,2025-12-02,2026-05-31,Monthly,10,Active
S000028,C000028,2022-05-17,2023-04-12,Annual,0,Cancelled
S000029,C000029,2025-07-16,2026-01-12,Monthly,20,Cancelled
S000030,C000030,2025-03-27,2025-10-23,Monthly,15,Cancelled
S000031,C000031,2024-01-26,2024-05-25,Annual,20,Expired
S000032,C000032,2021-02-03,2021-05-04,Monthly,5,Active
S000033,C000033,2023-09-27,2023-10-27,Monthly,0,Active
S000034,C000034,2025-01-03,2025-06-02,Annual,10,Cancelled
S000035,C000035,2022-12-12,2023-02-10,Monthly,5,Cancelled
S000036,C000036,2023-09-02,2024-01-30,Annual,5,Cancelled
S000037,C000037,2021-04-10,2021-09-07,Monthly,0,Expired
S000038,C000038,2024-11-01,2025-04-30,Monthly,5,Active
S000039,C000039,2025-07-04,2025-12-31,Monthly,5,Expired
S000040,C000040,2023-06-05,2023-07-05,Annual,20,Cancelled
S000041,C000041,2024-08-05,2024-12-03,Annual,0,Active
S000042,C000042,2022-07-27,2023-03-24,Annual,0,Cancelled
S000043,C000043,2023-05-03,2023-10-30,Annual,5,Cancelled
S000044,C000044,2022-09-30,2023-03-29,Annual,5,Active
S000045,C000045,2024-01-07,2024-05-06,Annual,10,Expired
S000046,C000046,2022-05-13,2022-07-12,Annual,20,Active
S000047,C000047,2023-08-10,2023-11-08,Monthly,0,Active
S000048,C000048,2024-08-28,2025-02-24,Annual,5,Active
S000049,C000049,2022-08-22,2023-06-18,Monthly,15,Expired
S000050,C000050,2024-05-29,2024-08-27,Monthly,0,Active
S000051,C000051,2021-02-02,2021-09-30,Annual,0,Active
S000052,C000052,2025-07-30,2026-02-25,Monthly,15,Expired
S000053,C000053,2022-08-21,2022-11-19,Annual,20,Cancelled
S000054,C000054,2021-12-10,2022-01-09,Monthly,5,Expired
S000055,C000055,2023-10-24,2024-01-22,Monthly,15,Active
S000056,C000056,2024-04-19,2025-02-13,Annual,5,Cancelled
S000057,C000057,2023-11-29,2024-04-27,Monthly,5,Cancelled
S000058,C000058,2024-03-20,2024-11-15,Monthly,15,Expired
S000059,C000059,2022-10-10,2023-09-05,Annual,0,Expired
S000060,C000060,2021-03-11,2021-04-10,Annual,5,Cancelled
S000061,C000061,2023-12-01,2024-09-26,Monthly,5,Active
S000062,C000062,2022-11-16,2023-05-15,Monthly,0,Active
S000063,C000063,2025-07-02,2025-12-29,Annual,5,Cancelled
S000064,C000064,2022-07-30,2022-08-29,Monthly,5,Active
S000065,C000065,2022-12-02,2023-04-01,Monthly,10,Active
S000066,C000066,2025-07-15,2025-10-13,Annual,15,Expired
S000067,C000067,2023-10-08,2024-07-04,Monthly,15,Expired
S000068,C000068,2021-07-07,2021-08-06,Annual,15,Cancelled
S000069,C000069,2023-05-18,2023-11-14,Annual,0,Active
S000070,C000070,2021-01-28,2021-08-26,Annual,10,Cancelled
S000071,C000071,2021-04-22,2021-09-19,Annual,5,Cancelled
S000072,C000072,2021-09-12,2021-10-12,Annual,15,Active
S000073,C000073,2025-11-08,2026-02-06,Annual,15,Cancelled
S000074,C000074,2024-06-19,2025-01-15,Monthly,20,Active
S000075,C000075,2021-11-18,2022-10-14,Annual,20,Active
S000076,C000076,2022-10-09,2023-03-08,Monthly,10,Active
S000077,C000077,2021-01-16,2021-08-14,Annual,15,Cancelled
S000078,C000078,2023-08-24,2024-07-19,Annual,20,Active
S000079,C000079,2022-05-02,2023-04-27,Annual,15,Active
S000080,C000080,2023-01-17,2023-07-16,Monthly,10,Active
S000081,C000081,2021-08-09,2021-12-07,Annual,0,Active
S000082,C000082,2025-01-15,2025-11-11,Monthly,20,Expired
S000083,C000083,2022-05-25,2023-04-20,Annual,0,Expired
S000084,C000084,2021-11-09,2022-07-07,Monthly,5,Cancelled
S000085,C000085,2021-01-23,2021-09-20,Annual,10,Expired
S000086,C000086,2023-07-05,2024-03-31,Monthly,0,Active
S000087,C000087,2025-07-06,2025-10-04,Annual,5,Cancelled
S000088,C000088,2022-04-09,2023-03-05,Monthly,20,Expired
S000089,C000089,2023-01-13,2023-04-13,Annual,20,Expired
S000090,C000090,2024-03-01,2025-02-24,Annual,10,Cancelled
S000091,C000091,2022-11-24,2023-07-22,Annual,0,Active
S000092,C000092,2021-11-20,2022-04-19,Monthly,10,Expired
S000093,C000093,2021-02-16,2022-01-12,Annual,20,Cancelled
S000094,C000094,2025-04-21,2025-11-17,Monthly,10,Active
S000095,C000095,2024-02-07,2024-08-05,Annual,5,Active
S000096,C000096,2024-05-12,2025-05-07,Annual,20,Active
S000097,C000097,2023-09-29,2024-05-26,Annual,15,Active
S000098,C000098,2021-07-12,2021-10-10,Monthly,15,Cancelled
S000099,C000099,2021-04-03,2021-08-31,Annual,10,Active
S000100,C000100,2021-06-01,2021-12-28,Annual,5,Active
S000101,C000101,2021-04-10,2021-12-06,Annual,10,Active
S000102,C000102,2025-10-14,2026-09-09,Annual,5,Expired
S000103,C000103,2021-08-24,2021-10-23,Annual,20,Active
S000104,C000104,2022-01-03,2022-10-30,Monthly,20,Cancelled
S000105,C000105,2023-07-16,2023-08-15,Monthly,5,Expired
S000106,C000106,2025-05-11,2025-07-10,Annual,20,Expired
S000107,C000107,2021-11-17,2022-11-12,Monthly,20,Active
S000108,C000108,2021-01-20,2021-10-17,Annual,5,Cancelled
S000109,C000109,2025-09-30,2025-11-29,Annual,10,Cancelled
S000110,C000110,2023-10-11,2024-01-09,Annual,0,Expired
S000111,C000111,2022-03-30,2022-12-25,Monthly,0,Cancelled
S000112,C000112,2023-06-06,2024-05-31,Annual,20,Active
S000113,C000113,2023-12-20,2024-02-18,Annual,0,Active
S000114,C000114,2022-01-26,2022-04-26,Annual,15,Active
S000115,C000115,2024-12-05,2025-07-03,Annual,20,Cancelled
S000116,C000116,2024-04-19,2024-12-15,Monthly,10,Expired
S000117,C000117,2023-03-27,2023-06-25,Monthly,5,Expired
S000118,C000118,2023-04-22,2023-10-19,Monthly,10,Cancelled
S000119,C000119,2022-03-25,2022-11-20,Monthly,10,Cancelled
S000120,C000120,2023-02-01,2023-03-03,Monthly,0,Expired
S000121,C000121,2021-05-21,2022-04-16,Annual,10,Active
